ID;Generation Number;Generation Size;DD Size;Number of DD;Runtime;Tests per Minute;Average Test Execution Time;Average DD Runtime;Total primary score increase;Total secondary increase
416;371d45;2000;496;10;        59s  79ms 314μs 742ns;2538.305085;                        -33040434831347ns;         6s 626ms 745μs 534ns;2257.000000;0.000000
53;7291c;2000;414;10;        50s 176ms 396μs 655ns;2896.800000;                        -24541263994324ns;         5s 402ms 204μs 621ns;2253.000000;0.000000
417;373f96;2000;430;10;        58s 924ms 704μs 351ns;2513.793103;                        -28091780576516ns;         5s 599ms  47μs 412ns;2257.000000;0.000000
54;749a7;2000;483;10;        50s 258ms 686μs 429ns;2979.600000;                        -29067988258812ns;         6s 711ms 355μs 302ns;2253.000000;0.000000
418;3760ab;2000;511;10;        57s 110ms  64μs 452ns;2643.157895;                        -34214957164192ns;         7s 386ms 574μs 597ns;2257.000000;0.000000
55;76b78;2000;545;10;        52s 381ms 850μs 758ns;2936.538462;                        -36617786705344ns;         7s  85ms 113μs 247ns;2253.000000;0.000000
419;37832e;2000;485;10;        58s 151ms 239μs 319ns;2570.689655;                        -29541380716561ns;         6s 650ms 316μs 718ns;2257.000000;0.000000
56;78e5b;2000;504;10;        52s 676ms 478μs 549ns;2889.230769;                        -26248590667275ns;         5s 958ms 763μs  92ns;2253.000000;0.000000
420;37a541;2000;483;10;        58s 687ms 348μs 893ns;2568.620690;                        -34384664771331ns;         6s 656ms 196μs 957ns;2257.000000;0.000000
57;7b093;2000;456;10;        51s  70ms 263μs 344ns;2889.411765;                        -28738874580720ns;         6s 330ms 755μs 354ns;2253.000000;0.000000
421;37c740;2000;468;10;        59s 185ms 661μs 662ns;2509.830508;                        -28372200776608ns;         6s 261ms 411μs 210ns;2257.000000;0.000000
58;7d1fc;2000;431;10;        53s 692ms 275μs  11ns;2752.075472;                        -23052740300640ns;         5s 522ms 164μs 380ns;2253.000000;0.000000
422;37e907;2000;485;10;     1m  1s 516ms   1μs  78ns;2444.262295;                        -32078862365024ns;         6s 832ms 595μs   3ns;2257.000000;0.000000
59;7f2ec;2000;532;10;        54s 501ms 860μs 827ns;2813.333333;                        -25966863404471ns;         7s 716ms 374μs 409ns;2253.000000;0.000000
423;380b10;2000;460;10;        59s  20ms 753μs 790ns;2501.694915;                        -31022062779124ns;         6s 725ms 986μs 412ns;2257.000000;0.000000
60;815af;2000;461;10;        51s 522ms 500μs 992ns;2895.294118;                        -22995768907547ns;         5s 656ms 583μs 494ns;2253.000000;0.000000
424;382c9d;2000;473;10;        57s 175ms 679μs 291ns;2603.157895;                        -32016514790891ns;         6s 582ms  53μs 501ns;2257.000000;0.000000
61;83756;2000;461;10;        52s 766ms 454μs 734ns;2839.615385;                        -28036032728351ns;         6s 460ms 729μs 750ns;2253.000000;0.000000
62;858bf;2000;614;10;        54s 247ms 584μs 123ns;2904.444444;                        -29697736449730ns;         8s 464ms  91μs 126ns;2253.000000;0.000000
63;87cfe;2000;485;10;        52s 531ms 805μs 983ns;2867.307692;                        -25818748322918ns;         6s 218ms 595μs 853ns;2253.000000;0.000000
64;89edb;2000;433;10;        51s  96ms 790μs 371ns;2862.352941;                        -29032929542149ns;         6s  35ms 761μs 808ns;2253.000000;0.000000
65;8bfb2;2000;563;10;        50s  51ms 931μs 974ns;3075.600000;                        -30929692249553ns;         7s 868ms 791μs 418ns;2253.000000;0.000000
66;8e2c7;2000;510;10;        48s 771ms  12μs 842ns;3137.500000;                        -29652254710659ns;         7s 164ms 541μs 647ns;2253.000000;0.000000
67;9050e;2000;561;10;        50s 563ms 845μs 961ns;3073.200000;                        -35383325506783ns;         7s 679ms 212μs 343ns;2253.000000;0.000000
68;92825;2000;494;10;        49s 572ms 587μs 166ns;3053.877551;                        -29416218217644ns;         6s 708ms  14μs 630ns;2253.000000;0.000000
69;94a22;2000;472;10;        52s  38ms 581μs 619ns;2852.307692;                        -28808301601333ns;         6s  66ms 732μs  14ns;2253.000000;0.000000
70;96bdf;2000;473;10;        51s 326ms 286μs 959ns;2909.411765;                        -31199779116151ns;         6s 653ms 693μs 442ns;2253.000000;0.000000
71;98d88;2000;511;10;        52s 660ms 391μs 852ns;2897.307692;                        -24283881209389ns;         6s 521ms 252μs 521ns;2253.000000;0.000000
72;9afef;2000;565;10;        53s 745ms 622μs 589ns;2903.773585;                        -30929050188565ns;         7s 680ms 233μs 634ns;2253.000000;0.000000
73;9d364;2000;459;10;        50s 289ms 289μs 946ns;2950.800000;                        -24144451598547ns;         5s 822ms 216μs 383ns;2253.000000;0.000000
74;9f4f1;2000;526;10;        51s 590ms 187μs 629ns;2971.764706;                        -32695626184522ns;         6s 974ms 361μs 867ns;2253.000000;0.000000
75;a1788;2000;470;10;        49s 896ms 764μs 381ns;3024.489796;                        -24479294841702ns;         5s 977ms 457μs 837ns;2253.000000;0.000000
76;a3942;2000;603;10;        51s 772ms 570μs 929ns;3062.352941;                        -31113090641847ns;         7s 980ms 206μs 350ns;2253.000000;0.000000
77;a5d21;2000;442;10;        52s  81ms 120μs  28ns;2817.692308;                        -23880996899818ns;         5s 263ms 305μs 650ns;2257.000000;0.000000
